Dashboard;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2004";"Nederland";"5,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2004";"Nederland";"5,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2004";"Nederland";"5,1";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2004";"Nederland";"5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2004";"Nederland";"5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2004";"Nederland";"5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2005";"Nederland";"5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2005";"Nederland";"5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2005";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2005";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2005";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2005";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2005";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2005";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2005";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2005";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2005";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2005";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2006";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2006";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2006";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2006";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2007";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2007";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2007";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2007";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2007";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2007";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2007";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2007";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2007";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2007";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2007";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2007";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2008";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2008";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2008";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2008";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2008";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2008";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
